time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-07-17,40373.44,39176.57,39432.51,5147.14,204507276.78,39876.3,direct,
2021-07-18,40818.14,39125.39,39876.3,3348.82,134275556.64,39971.74,direct,
2021-07-19,40516.23,38809.97,39971.74,3887.16,153504494.53,39403.53,direct,
2021-07-20,39650.31,37264.75,39403.53,2504.18,94912525.21,37644.49,direct,
2021-07-21,41213.53,37333.82,37644.49,2054.93,80445645.69,40231.29,direct,
2021-07-22,41070.54,39724.47,40231.29,2926.23,118320932.0,40693.69,direct,
2021-07-23,42301.79,40142.57,40693.69,6655.41,271305172.19,42031.27,direct,
2021-07-24,43487.13,41838.66,42031.27,6393.58,271975440.4,42902.82,direct,
2021-07-25,44521.71,42426.38,42902.82,5028.43,217323884.51,44521.71,direct,
2021-07-26,50936.37,44202.66,44521.71,8419.93,404252690.31,46966.1,direct,
2021-07-27,49857.35,45549.13,46966.1,5140.28,243063808.49,49561.02,direct,
2021-07-28,51546.31,48628.78,49561.02,4916.57,246037078.89,50231.65,direct,
2021-07-29,50761.09,48864.25,50231.65,11497.24,571503852.31,49923.94,direct,
2021-07-30,52921.74,47542.24,49923.94,8638.53,426924514.72,52784.5,direct,
2021-07-31,52954.7,49024.81,52784.5,5985.2,310476507.24,51909.2,direct,
2021-08-01,53311.08,49043.06,51909.2,4324.45,223862790.18,49553.88,direct,
2021-08-02,50525.63,48247.25,49553.88,4385.35,216640929.38,48802.3,direct,
2021-08-03,49831.23,47067.34,48802.3,4784.13,230545325.77,47723.58,direct,
2021-08-04,50249.48,46889.54,47723.58,4329.79,210538050.2,49670.51,direct,
2021-08-05,51855.33,46527.95,49670.51,4537.82,224356243.65,51191.91,direct,
2021-08-06,54448.69,49728.58,51191.91,3921.81,200880481.66,53855.44,direct,
2021-08-07,56301.48,53329.38,53855.44,3365.38,184281267.74,55717.81,direct,
2021-08-08,57052.19,54148.42,55717.81,3503.56,195050918.48,54914.41,direct,
2021-08-09,58532.55,53670.17,54914.41,3698.07,208458226.96,57994.49,direct,
2021-08-10,58873.38,55790.27,57994.49,4382.07,250643911.45,56852.19,direct,
2021-08-11,58625.68,56609.77,56852.19,4067.81,234671447.76,57215.05,direct,
2021-08-12,57944.88,54691.86,57215.05,3556.27,200178839.71,55441.69,direct,
2021-08-13,60044.44,55207.81,55441.69,4003.26,231926402.37,59983.44,direct,
2021-08-14,60345.15,57368.57,59983.44,4119.3,242269437.39,58666.84,direct,
2021-08-15,59614.76,56163.78,58666.84,4314.57,250460588.73,59005.99,direct,
2021-08-16,60291.66,57233.13,59005.99,4683.69,275422084.57,57564.06,direct,
2021-08-17,59599.94,55911.1,57564.06,5006.91,289907782.45,56237.05,direct,
2021-08-18,58214.3,55694.28,56237.05,5579.68,317788399.45,56448.69,direct,
2021-08-19,60360.97,55578.51,56448.69,4051.04,233136648.46,59802.23,direct,
2021-08-20,63441.11,59602.3,59802.23,4437.48,272660529.35,63376.41,direct,
2021-08-21,63955.92,61702.42,63376.41,4400.53,276401689.78,62430.39,direct,
2021-08-22,63598.32,61443.57,62430.39,4128.25,258272706.62,63344.02,direct,
2021-08-23,64556.71,61884.87,63344.02,3913.88,247813483.21,62799.48,direct,
2021-08-24,63045.51,59753.72,62799.48,4585.66,282600341.57,59907.8,direct,
2021-08-25,62154.29,59145.65,59907.8,4552.09,276760141.74,61828.35,direct,
2021-08-26,62300.24,58202.98,61828.35,5135.4,307270260.05,59654.92,direct,
2021-08-27,62157.69,58601.33,59654.92,4860.57,293705957.89,61680.14,direct,
2021-08-28,62365.52,60839.44,61680.14,4787.79,295257915.5,61726.13,direct,
2021-08-29,62757.53,60091.54,61726.13,4023.86,246740600.42,61674.98,direct,
2021-08-30,61823.99,58834.73,61674.98,4903.92,297072686.4,59009.12,direct,
2021-08-31,61023.39,58693.59,59009.12,4005.22,238497266.96,59587.22,direct,
2021-09-01,62047.82,58588.18,59587.22,4656.89,279885023.06,61415.28,direct,
2021-09-02,63596.9,61078.13,61415.28,4905.84,306516167.85,62045.27,direct,
2021-09-03,63932.14,60563.1,62045.27,1308.5,80982184.12,62774.39,direct,
2021-09-04,63207.04,61658.93,62774.39,1767.57,110731220.07,62668.67,direct,
2021-09-05,65178.85,61760.61,62668.67,5433.45,342376044.05,65001.18,direct,
2021-09-06,66185.14,63745.9,65001.18,4856.9,314970810.01,65766.91,direct,
2021-09-07,66425.61,55646.67,65766.91,4742.11,299014566.71,59345.41,direct,
2021-09-08,59968.65,56322.12,59345.41,3088.77,180819654.29,58290.06,direct,
2021-09-09,59981.55,57716.5,58290.06,4886.61,287447830.04,58563.97,direct,
2021-09-10,59700.84,55957.65,58563.97,3871.34,224919563.76,56738.48,direct,
2021-09-11,58494.33,56576.84,56738.48,3548.46,204147449.73,57140.57,direct,
2021-09-12,59027.32,56591.24,57140.57,5171.73,299104768.42,58541.36,direct,
2021-09-13,59427.79,54886.08,58541.36,4961.23,281154972.71,56989.62,direct,
2021-09-14,60106.88,56396.98,56989.62,6149.59,357709060.09,59545.17,direct,
2021-09-15,61489.51,59126.31,59545.17,5109.18,307381502.0,60549.22,direct,
2021-09-16,61429.48,59433.41,60549.22,4019.4,243701809.72,60348.88,direct,
